q_um-1,q2_um-2,Gamma_Hz,D_app_um2s-1,Amplitude,Background
3.2795173203189183,10.75523385427178,0.30404381068937353,0.028269381661897845,384974677.70827395,0.1893530131996286
3.6247296698261726,13.138665179318155,0.22978391651896196,0.01748913709138959,460025453.45674723,323495.75239470287
3.9699420193334274,15.76043963686917,0.27162906902426537,0.01723486623995121,386514964.4310523,1508111.1255398511
4.315154368840682,18.620557226924827,0.29715131919722443,0.015958239894537183,355129773.1626773,1753644.0638588523
4.6603667183479365,21.719017949485114,0.3780134445468281,0.01740472084999541,289176139.8622938,709187.0826267207
5.005579067855191,25.055821804550042,0.43463845030507775,0.017346804814286677,252403363.2614507,133987.149986296
5.350791417362446,28.630968792119614,0.4722308649847472,0.016493708907074217,228317757.92009556,140191.22316466758
5.6960037668696994,32.4444589121938,0.5652822713779164,0.01742307593748968,195071881.23005903,1.8893402718061017e-07
6.041216116376955,36.496292164772655,0.5906997931329404,0.016185200142142166,174008795.2629995,1049317.3026045267
6.386428465884209,40.78646854985613,0.6781002645497786,0.016625618462674442,152328564.41512957,443287.2301045272
6.731640815391463,45.31498806744425,0.7519872947424572,0.016594670479075094,132416472.71516943,1217739.537101482
7.0768531648987185,50.08185071753701,0.8380319394202631,0.016733246224201775,122172007.96253607,111417.88354094987
7.422065514405973,55.087056500134395,0.8980618767975083,0.016302593274253405,110069010.58938149,1022155.2378488426
7.767277863913227,60.33060541523643,1.0003354268631761,0.01658089488706743,98566075.56844221,871178.2890745251
8.112490213420482,65.8124974628431,1.0633888189774066,0.016157855422183034,89750365.31552649,1315033.9065916594
8.457702562927736,71.53273264295439,1.1561504463676917,0.016162537116238166,80852169.90278791,1336756.5016878997
8.802914912434991,77.49131095557034,1.3193712903744874,0.017026054587345272,74515893.15611137,45094.50766838471
9.148127261942246,83.68823240069094,1.4208541844581681,0.01697794473248353,67103852.48573971,549546.672761784
9.4933396114495,90.12349697831614,1.4941933721916314,0.016579398517471384,60334340.65099292,1247850.492966805
9.838551960956755,96.79710468844601,1.5911816579376714,0.016438318718923414,54721980.08181414,1519142.585161168
10.18376431046401,103.70905553108051,1.6810632105728651,0.016209415869852063,49785745.81168612,1364777.4852801503
10.528976659971264,110.85934950621963,1.8512716708423884,0.016699283182592776,45966543.48349923,748413.1229316733
10.874189009478517,118.24798661386338,1.926420796813443,0.016291362347708588,40849861.38604639,1322854.9745691551
11.219401358985774,125.87496685401183,2.0205462058147132,0.016052009834156434,36657383.05503803,1633127.4331783147
11.564613708493027,133.74029022666485,2.124910514144626,0.015888334850651952,32789016.051641826,1819253.838264725
11.90982605800028,141.84395673182252,2.2682407417715416,0.01599109890920481,29191582.62520612,1785143.0208887865
12.255038407507536,150.18596636948485,2.396259124215738,0.015955279858309156,26058719.447852727,1652187.7788750276
12.600250757014791,158.7663191396518,2.468336940667579,0.015546980959459132,22497635.778421227,1995383.4391781748
12.945463106522045,167.5850150423234,2.6117050626512253,0.015584359150438614,19958893.05836092,1876962.9609400134
13.2906754560293,176.64205407749964,2.7891371250925214,0.01578976840854002,17338416.095719744,1681805.1504777158
13.635887805536555,185.93743624518052,2.9313670176893822,0.015765340626854873,14714553.857366432,1654060.2936441484
13.981100155043809,195.47116154536602,3.0247280428229693,0.015474037289746057,12210462.853252713,1815609.497159783
14.326312504551064,205.24322997805618,3.144124743694222,0.015319018045225558,10078130.707803715,1765346.8870135187
14.671524854058319,215.25364154325098,3.2805010765580493,0.015240165290764185,8303459.857905159,1721681.013613983
15.016737203565572,225.50239624095036,3.245493757272688,0.014392280576055887,6526462.980483565,1882445.0748675724
15.361949553072828,235.98949407115444,3.4243314097686537,0.014510524814872333,5321840.635807884,1665644.5432990452
15.707161902580083,246.71493503386316,3.2168826456695347,0.013038864652551324,3979912.835380015,1848636.492779935
16.052374252087336,257.67871912907646,3.301359003730374,0.012811919489853786,3188750.0862042485,1633026.63292182
16.39758660159459,268.8808463567944,3.211684683780106,0.011944639148890232,2432521.7858753866,1598347.6052127692
16.742798951101847,280.3213167170171,2.91530259503053,0.010399860521394142,1785454.2600819292,1589182.9881865077
17.0880113006091,292.0001302097443,2.8566305695015317,0.009782977039940386,1431905.7914363786,1431310.186671389
17.433223650116354,303.91728683497615,2.6291733753195365,0.0086509504039734,1153030.1737319317,1328729.6484630953
17.77843599962361,316.07278659271276,2.4255049694670316,0.007673881056367265,915845.4881850469,1240845.6469746493
18.123648349130864,328.46662948295386,2.2050206993974517,0.006713073723405086,760080.3157134136,1149835.4649518884
18.468860698638117,341.09881550569963,2.0374916740105915,0.005973317940110366,693756.6664496901,1044197.3566210666
18.814073048145374,353.9693446609502,1.8990298663983733,0.00536495573710588,632544.3011372514,962111.7400107055
19.159285397652628,367.07821694870523,1.8817867782770756,0.005126391846182561,602806.3837705323,881087.7297775765
19.50449774715988,380.4254323689649,1.8797573780976233,0.0049411979803560945,598837.1684430273,812431.0990209355
19.84971009666714,394.01099092172933,1.7636173196439564,0.0044760612274247465,567490.4046017348,772019.7534989185
20.194922446174388,407.83489260699815,1.7318638177976429,0.0042464827046236045,555644.4694432024,731759.9504126863
20.540134795681645,421.89713742477187,1.6448762185798091,0.0038987612682560703,537904.4570844127,700479.6531175147
20.885347145188902,436.1977253750502,1.6898226579901696,0.0038739831954355823,529355.3764543309,656613.75998197
21.230559494696152,450.7366564578329,1.6573729660778687,0.0036770316820968797,525051.4626300514,627342.142954338
21.57577184420341,465.51393067312057,1.528094470182733,0.0032825966517761344,502473.3915835598,614426.0540069519
