q_um-1,q2_um-2,Gamma_Hz,D_app_um2s-1,Amplitude,Background
3.2795173203189183,10.75523385427178,125.0,11.622248450725442,1e-10,23607743.043128405
3.6247296698261726,13.138665179318155,125.0,9.513904060571168,1e-10,25419143.934245802
3.9699420193334274,15.76043963686917,125.0,7.931250833103752,1e-10,25020276.616742086
4.315154368840682,18.620557226924827,125.0,6.713010705139014,1e-10,24660461.36532228
4.6603667183479365,21.719017949485114,125.0,5.755324678617126,1e-10,26102765.00482102
5.005579067855191,25.055821804550042,125.0,4.98886051214255,1e-10,25130098.19483845
5.350791417362446,28.630968792119614,125.0,4.365901863383854,1e-10,24573160.327991083
5.6960037668696994,32.4444589121938,125.0,3.8527380079998954,1e-10,24206518.36543498
6.041216116376955,36.496292164772655,125.0,3.42500546180562,1e-10,23961364.11497691
6.386428465884209,40.78646854985613,125.0,3.064741921630303,1e-10,23081237.902977377
6.731640815391463,45.31498806744425,125.0,2.758469224662646,1e-10,22581545.81698027
7.0768531648987185,50.08185071753701,125.0,2.495914152713792,1e-10,21474751.20224797
7.422065514405973,55.087056500134395,125.0,2.26913558178036,1e-10,21969863.84688325
7.767277863913227,60.33060541523643,125.0,2.071916884302165,1e-10,21506587.286831923
8.112490213420482,65.8124974628431,125.0,1.899335305890396,1e-10,21128817.95063195
8.457702562927736,71.53273264295439,125.0,1.7474517662273577,1e-10,20887985.382684138
8.802914912434991,77.49131095557034,125.0,1.6130840794740042,1e-10,20894789.06458838
9.148127261942246,83.68823240069094,125.0,1.4936389073378014,1e-10,20053743.774792362
9.4933396114495,90.12349697831614,125.0,1.386985682879962,1e-10,19081507.754684526
9.838551960956755,96.79710468844601,125.0,1.2913609389694936,1e-10,18075011.842449896
10.18376431046401,103.70905553108051,125.0,1.2052949413133824,1e-10,17507741.33600864
10.528976659971264,110.85934950621963,125.0,1.1275548752249085,1e-10,17494807.001400378
10.874189009478517,118.24798661386338,125.0,1.0571004511745743,1e-10,15934185.686295586
11.219401358985774,125.87496685401183,125.0,0.9930489208785523,1e-10,15376661.777460547
11.564613708493027,133.74029022666485,125.0,0.9346472913147438,1e-10,14524844.58631543
11.90982605800028,141.84395673182252,125.0,0.8812500925670836,1e-10,14014592.67531535
12.255038407507536,150.18596636948485,125.0,0.8323014661201914,1e-10,12771557.787667818
12.600250757014791,158.7663191396518,125.0,0.7873206400285016,1e-10,12057832.833989784
12.945463106522045,167.5850150423234,125.0,0.7458900783487796,1e-10,11275898.305568136
13.2906754560293,176.64205407749964,125.0,0.7076457565714092,1e-10,10284708.771738457
13.635887805536555,185.93743624518052,125.0,0.6722691380727263,1e-10,9153406.482768562
13.981100155043809,195.47116154536602,125.0,0.6394805198463474,1e-10,8116888.597344684
14.326312504551064,205.24322997805618,125.0,0.6090334868212925,1e-10,7155356.91827413
14.671524854058319,215.25364154325098,125.0,0.5807102686106415,1e-10,6079651.984196452
15.016737203565572,225.50239624095036,125.0,0.5543178346825056,1e-10,5446813.50336639
15.361949553072828,235.98949407115444,125.0,0.5296845967317112,1e-10,4678539.744439673
15.707161902580083,246.71493503386316,125.0,0.506657612693139,1e-10,3964525.1532422467
16.052374252087336,257.67871912907646,125.0,0.4851002070426506,1e-10,3468547.0015293877
16.39758660159459,268.8808463567944,125.0,0.4648899380290178,1e-10,2941974.2000824795
16.742798951101847,280.3213167170171,125.0,0.44591685521435687,1e-10,2520360.4967751624
17.0880113006091,292.0001302097443,125.0,0.4280820008888771,1e-10,2140852.523080114
17.433223650116354,303.91728683497615,125.0,0.41129611711713415,1e-10,1805769.93190114
17.77843599962361,316.07278659271276,125.0,0.3954785267896959,1e-10,1649808.7411894794
18.123648349130864,328.46662948295386,125.0,0.38055616242284673,1e-10,1439629.910571892
18.468860698638117,341.09881550569963,125.0,0.36646272082381737,1e-10,1277179.852401881
18.814073048145374,353.9693446609502,125.0,0.35313792531873445,1e-10,1184679.659556137
19.159285397652628,367.07821694870523,125.0,0.34052688018114474,1e-10,1056336.4216855222
19.50449774715988,380.4254323689649,125.0,0.32857950432390043,9.999999999999999e-11,994370.2810217518
19.84971009666714,394.01099092172933,125.0,0.31725003332415,9.999999999999999e-11,930297.1752814533
20.194922446174388,407.83489260699815,125.0,0.3064965805180719,9.999999999999999e-11,890959.745529606
20.540134795681645,421.89713742477187,125.0,0.2962807492911436,9.999999999999999e-11,815633.1682729798
20.885347145188902,436.1977253750502,125.0,0.28656728985123175,9.999999999999999e-11,795386.4521219562
21.230559494696152,450.7366564578329,125.0,0.277323794745977,9.999999999999999e-11,765038.3554351797
21.57577184420341,465.51393067312057,125.0,0.26852042820556066,9.999999999999999e-11,725360.0729669136
21.920984193710666,480.52954802091284,125.0,0.260129685083507,9.999999999999999e-11,701454.3358457558
22.266196543217916,495.78350850120944,125.0,0.25212617575337337,9.999999999999999e-11,666945.7782576664
22.611408892725173,511.27581211401105,125.0,0.24448643381573829,9.999999999999999e-11,637722.4312843619
22.95662124223243,527.0064588593173,125.0,0.2371887438923559,9.999999999999999e-11,610729.5734813163
23.30183359173968,542.9754487371277,125.0,0.23021298714468508,9.999999999999999e-11,587419.148066547
23.647045941246937,559.1827817474432,125.0,0.22354050246213888,9.999999999999999e-11,573271.0451070738
23.992258290754194,575.6284578902633,125.0,0.21715396152952143,9.999999999999999e-11,557074.2843796359
24.337470640261444,592.3124771655878,125.0,0.21103725621004402,9.999999999999999e-11,483438.6647431104
24.6826829897687,609.2348395734172,125.0,0.205175396875734,1e-10,414142.01828691753
25.027895339275954,626.395545113751,125.0,0.19955442048570202,9.999999999999999e-11,360802.6454270187
25.373107688783207,643.7945937865895,125.0,0.19416130735859527,9.999999999999999e-11,324242.2843447069
25.718320038290464,661.4319855919329,125.0,0.18898390571198975,9.999999999999999e-11,290330.85571699287
26.063532387797718,679.3077205297806,125.0,0.18401086315126025,9.999999999999999e-11,254664.14673839542
26.40874473730497,697.421798600133,125.0,0.1792315643860005,9.999999999999999e-11,227951.86132127966
26.75395708681223,715.7742198029903,125.0,0.17463607453535418,9.999999999999999e-11,209676.92235401503
27.09916943631948,734.3649841383519,125.0,0.17021508745636274,9.999999999999999e-11,191578.03094174867
27.444381785826735,753.1940916062183,125.0,0.16595987859308908,9.999999999999998e-11,172031.65826200656
27.789594135333992,772.2615422065894,125.0,0.16186226190007655,1e-10,157041.03574531045
28.134806484841246,791.567335939465,125.0,0.15791455044269204,9.999999999999998e-11,141884.15001743467
28.4800188343485,811.1114728048452,125.0,0.15410952031999578,9.999999999999998e-11,129720.20156307495
28.825231183855756,830.8939528027303,125.0,0.15044037759374249,1e-10,116848.87194731743
29.17044353336301,850.9147759331198,125.0,0.1469007279406143,9.999999999999996e-11,109776.29483464186
29.515655882870263,871.173942196014,125.0,0.14348454877438818,9.999999999999996e-11,100330.77498700301
29.86086823237752,891.671451591413,125.0,0.14018616361094205,9.999999999999996e-11,98318.63882399042
30.206080581884773,912.4073041193163,125.0,0.13700021847222482,9.999999999999996e-11,92941.16593850436
30.551292931392027,933.3814997797244,125.0,0.1339216601459314,1e-10,85168.7896195286
